CONTAINER,NAME,CPU%,MEMUSAGE/LIMIT,MEM%,NETI/O,PIDS_JULIA,BLOCKI/O,PIDS_DOCKER,TIMESTAMP
a94d9f226a94,stupefied_visvesvaraya,0.00%,179.6MiB/1.907GiB,9.19%,4.16MB/64kB,2,0B/0B,0,11:34:36
d4ebb35c0b95,wizardly_jennings7,98.81%,200.2MiB/1.907GiB,10.25%,5.58MB/90.4kB,3,0B/0B,0,11:34:36
fb40a98310cc,kind_elion,3.14%,194.2MiB/1.907GiB,9.94%,7.35MB/105kB,4,0B/0B,0,11:34:36
b46880094077,awesome_tereshkova,0.00%,216.3MiB/1.907GiB,11.08%,7.36MB/105kB,5,0B/1.06MB,0,11:34:36
682edf60b852,vigilant_hermann,0.00%,212.6MiB/1.907GiB,10.89%,7.34MB/97.6kB,6,0B/1.06MB,0,11:34:36
f1e38ec7964d,compassionate_beaver,61.17%,205.1MiB/1.907GiB,10.50%,7.39MB/109kB,7,0B/1.06MB,0,11:34:36
17d860dfecaa,heuristic_rosalind,102.23%,223.8MiB/1.907GiB,11.46%,7.34MB/111kB,8,0B/1.06MB,0,11:34:36
3f8765698a7f,priceless_aryabhata,92.22%,226.8MiB/1.907GiB,11.61%,7.35MB/97.9kB,9,0B/1.08MB,0,11:34:36
5ab5c99049c3,zen_hodgkin,102.92%,233.2MiB/1.907GiB,11.94%,7.37MB/112kB,10,0B/328kB,0,11:34:36
23aaf1114e6c,jovial_mirzakhani,0.00%,223.6MiB/1.907GiB,11.45%,7.36MB/122kB,11,0B/1.02MB,0,11:34:36
48d28f083145,goofy_allen8,102.63%,222.6MiB/1.907GiB,11.40%,7.34MB/93.4kB,12,0B/32.8kB,0,11:34:36
afa2fdf7ce06,reverent_agnesi,0.00%,227.2MiB/1.907GiB,11.63%,7.36MB/115kB,13,0B/1.02MB,0,11:34:36
e9022e012091,nervous_hugle,102.70%,224MiB/1.907GiB,11.47%,7.34MB/119kB,14,0B/721kB,0,11:34:36
1f582e9cfbf1,eager_chandrasekhar,24.42%,341.9MiB/1.907GiB,17.51%,7.36MB/155kB,15,0B/1.02MB,0,11:34:36
64fa3baa315b,inspiring_shirley,0.00%,428.8MiB/1.907GiB,21.96%,7.41MB/2.39MB,16,0B/1.02MB,0,11:34:36
a0b9de5366a4,confident_mestorf,0.00%,391.5MiB/1.907GiB,20.04%,7.39MB/2.39MB,17,0B/1.02MB,0,11:34:36
