calculate_maxmin_seconds,clustering_time_seconds,elapsed_time_seconds,create_histogram_seconds,MAPE,MSE,R2,testing_model_seconds,train_global_model_seconds,local_training_seconds
5.66,4.56,97.19,1.07,0.0,0.0,0.0,7.78,6.86,25.31
1.29,0.0,0.0,0.0,1370.0296770578482,0.7816656372867895,-6.076724592764657,0.0,3.28,20.54
0.57,0.0,0.0,0.0,10103.269302124589,0.9792200564100264,-86.16821980346595,0.0,3.72,17.43
0.72,0.0,0.0,0.0,1773.6774511180795,0.7841275648006233,-6.035609591599132,0.0,3.75,15.24
0.59,0.0,0.0,0.0,6268.958133757585,0.9808154669737827,-86.50619304894458,0.0,3.67,15.04
0.66,0.0,0.0,0.0,72832.63707605492,0.7772777618288521,-6.0409267629129335,0.0,3.85,15.45
0.59,0.0,0.0,0.0,8286.851076528561,0.9844871342498976,-86.62757676567654,0.0,3.63,15.19
1.3,0.0,0.0,0.0,1858.4207795304812,0.7819253847841371,-6.075932660458727,0.0,3.39,19.93
0.61,0.0,0.0,0.0,12060.091267904874,0.9799279362152435,-85.9215038212841,0.0,3.46,19.11
0.47,0.0,0.0,0.0,1551.360958812434,0.7782271301572476,-6.017766230705342,0.0,3.75,17.25
0.49,0.0,0.0,0.0,7181.548753775388,0.9813994411662464,-86.13634636052096,0.0,3.42,18.8
0.44,0.0,0.0,0.0,1304.3016398468822,0.7799857198531708,-6.022518948540285,0.0,3.64,19.03
0.43,0.0,0.0,0.0,6843.5798603046505,0.9868725682437516,-87.06373382579025,0.0,3.6,14.91
0.51,0.0,0.0,0.0,4258.983509617482,0.7899437060787541,-6.147510059100518,0.0,3.7,15.56
0.58,0.0,0.0,0.0,16741.612517325462,0.9863681604821458,-86.02971142978606,0.0,3.48,18.66
0.57,0.0,0.0,0.0,1343.461433771471,0.7900501107135702,-6.117798436150647,0.0,3.26,19.3
0.57,0.0,0.0,0.0,25035.722672076827,0.9837224532737278,-86.60381061890106,0.0,3.38,18.18
